i,fitness
1,5.859528047839728
1,8.849224125978257
1,9.145738459712879
3,9.17686567007298
3,9.945357006399888
4,10.21139794505099
6,11.039755761488063
5,11.135634132068251
6,11.167230007335379
8,11.419810889183267
7,11.871098531116367
5,11.872434120982712
9,12.061344195985429
9,12.175405109923577
10,12.402214141450997
9,12.803136414176542
13,12.889395759969688
10,12.970820526288605
9,13.062689987862655
12,13.077209325109697
15,13.154316855200449
11,13.16555895702591
19,13.279441598530482
16,13.635486387008271
9,13.67894199169731
9,13.738978145139324
7,14.028368996468217
16,14.035224072449989
22,14.129338636616739
12,14.230178033558104
10,14.311582867385425
17,14.391744289862215
28,14.515181782816404
27,14.522576237579235
17,14.537141002004246
29,15.439070845080957
14,15.439932812108411
14,16.02815314294404
